Dec. 21, 2005   08:33:59
Square Wave Voltammetry
File: d:\ida_biofilms\12_10_18_dphzstar\a_760b\100um_pyo\a_100um_pyo_swvfast_final.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.4745087e-6, 1.9793745e-6
0.098, 1.5273946e-6, 2.0030225e-6
0.097, 1.5886744e-6, 2.0370098e-6
0.096, 1.5559567e-6, 1.9942986e-6
0.095, 1.5889877e-6, 2.0657203e-6
0.094, 1.5931599e-6, 2.0946122e-6
0.093, 1.5793076e-6, 2.0757964e-6
0.092, 1.6012075e-6, 2.0925015e-6
0.091, 1.5780213e-6, 2.0703048e-6
0.090, 1.6137076e-6, 2.0741309e-6
0.089, 1.5851783e-6, 2.0434743e-6
0.088, 1.5757787e-6, 2.0972507e-6
0.087, 1.5992946e-6, 2.1367957e-6
0.086, 1.5651585e-6, 2.1224159e-6
0.085, 1.6127674e-6, 2.0735865e-6
0.084, 1.5636084e-6, 2.0934908e-6
0.083, 1.5884107e-6, 2.0277421e-6
0.082, 1.6019495e-6, 2.1113833e-6
0.081, 1.5705016e-6, 2.0644836e-6
0.080, 1.6010260e-6, 2.1247738e-6
0.079, 1.5624375e-6, 2.0909679e-6
0.078, 1.6018341e-6, 2.0757961e-6
0.077, 1.5792912e-6, 2.0828215e-6
0.076, 1.5699079e-6, 2.0210798e-6
0.075, 1.6105082e-6, 2.1166770e-6
0.074, 1.5539943e-6, 2.0401267e-6
0.073, 1.5986843e-6, 2.1213439e-6
0.072, 1.5421539e-6, 2.0864493e-6
0.071, 1.5867450e-6, 2.0765547e-6
0.070, 1.5834798e-6, 2.0443317e-6
0.069, 1.5652905e-6, 2.0083489e-6
0.068, 1.5953862e-6, 2.1004830e-6
