Dec. 21, 2005   06:28:10
Square Wave Voltammetry
File: d:\ida_biofilms\12_10_18_dphzstar\a_760b\75um_pyo\a_75um_pyo_swvfast_4_4.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.5884930e-6, 1.8818149e-6
0.098, 1.5229916e-6, 1.9768186e-6
0.097, 1.5203861e-6, 1.9347503e-6
0.096, 1.5531367e-6, 1.9730585e-6
0.095, 1.5033839e-6, 2.0136258e-6
0.094, 1.5661810e-6, 2.0204698e-6
0.093, 1.5340735e-6, 2.0573762e-6
0.092, 1.5353927e-6, 2.0266866e-6
0.091, 1.5694792e-6, 2.0403081e-6
0.090, 1.5228761e-6, 1.9567326e-6
0.089, 1.5616790e-6, 1.9797537e-6
0.088, 1.5101288e-6, 2.0141701e-6
0.087, 1.5440999e-6, 2.0623397e-6
0.086, 1.5401420e-6, 2.0877028e-6
0.085, 1.5248056e-6, 1.9930126e-6
0.084, 1.5584633e-6, 2.0497077e-6
0.083, 1.5235687e-6, 1.9849485e-6
0.082, 1.5571770e-6, 2.0215086e-6
0.081, 1.5219691e-6, 2.0180619e-6
0.080, 1.5541098e-6, 2.0517361e-6
0.079, 1.5514051e-6, 2.0822276e-6
0.078, 1.5209632e-6, 2.0156378e-6
0.077, 1.5565998e-6, 2.0140217e-6
0.076, 1.5174671e-6, 1.9623394e-6
0.075, 1.5409830e-6, 2.0473003e-6
0.074, 1.5268670e-6, 2.0296879e-6
0.073, 1.5197099e-6, 2.0246748e-6
0.072, 1.5587107e-6, 2.0378016e-6
0.071, 1.5032521e-6, 2.0029729e-6
0.070, 1.5468868e-6, 2.0126859e-6
0.069, 1.4964414e-6, 1.9697275e-6
0.068, 1.5379323e-6, 2.0149616e-6
0.067, 1.5265371e-6, 2.0360699e-6
0.066, 1.5035819e-6, 2.0552982e-6
0.065, 1.5389712e-6, 2.0182267e-6
0.064, 1.4821439e-6, 2.0109378e-6
0.063, 1.5359533e-6, 2.0185566e-6
0.062, 1.5095021e-6, 1.9753343e-6
0.061, 1.5138062e-6, 1.9876366e-6
0.060, 1.5303958e-6, 2.0206180e-6
0.059, 1.4926320e-6, 2.0224486e-6
0.058, 1.5317316e-6, 2.0306609e-6
0.057, 1.4843536e-6, 2.0151597e-6
0.056, 1.5264875e-6, 2.0085304e-6
0.055, 1.5260754e-6, 1.9786326e-6
0.054, 1.5001518e-6, 2.0004663e-6
0.053, 1.5090568e-6, 2.0053146e-6
0.052, 1.4746406e-6, 2.0416273e-6
0.051, 1.5328860e-6, 2.0273296e-6
0.050, 1.4974638e-6, 1.9863501e-6
0.049, 1.5029882e-6, 1.9193151e-6
0.048, 1.5158840e-6, 1.9698923e-6
0.047, 1.4691326e-6, 1.9895658e-6
0.046, 1.5182256e-6, 2.0155717e-6
0.045, 1.4757784e-6, 2.0219538e-6
0.044, 1.4924012e-6, 1.9999220e-6
0.043, 1.4997891e-6, 2.0165944e-6
0.042, 1.4894658e-6, 1.9215249e-6
0.041, 1.5070943e-6, 1.9675340e-6
0.040, 1.4601947e-6, 1.9915447e-6
0.039, 1.5079190e-6, 2.0077059e-6
0.038, 1.4861016e-6, 2.0360205e-6
0.037, 1.4860523e-6, 1.9692820e-6
0.036, 1.5044064e-6, 2.0005982e-6
0.035, 1.4585950e-6, 1.9288136e-6
0.034, 1.5209632e-6, 1.9788140e-6
0.033, 1.4633938e-6, 1.9789127e-6
0.032, 1.4901914e-6, 1.9948593e-6
0.031, 1.4931927e-6, 2.0405223e-6
0.030, 1.4702210e-6, 1.9458980e-6
0.029, 1.5034994e-6, 1.9761587e-6
0.028, 1.4585785e-6, 1.9229265e-6
0.027, 1.4977443e-6, 1.9679630e-6
0.026, 1.4576550e-6, 1.9914128e-6
0.025, 1.4714414e-6, 1.9959480e-6
0.024, 1.5003661e-6, 2.0062710e-6
0.023, 1.4582488e-6, 1.9339755e-6
0.022, 1.4948912e-6, 1.9700078e-6
0.021, 1.4432421e-6, 1.8923856e-6
0.020, 1.4942481e-6, 1.9834806e-6
0.019, 1.4824736e-6, 1.9959807e-6
0.018, 1.4580673e-6, 1.9644503e-6
0.017, 1.4900265e-6, 2.0051825e-6
0.016, 1.4462598e-6, 1.9570459e-6
0.015, 1.4938523e-6, 1.9733225e-6
0.014, 1.4607554e-6, 1.9012576e-6
0.013, 1.4891359e-6, 1.9664458e-6
