reactor,PHZadded,molecule,echem_from_gc,rep,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc,echem_from_swv,sub_rep,minutes_from_swv,E_from_maxs_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv
A,100uM,PYO,GC,1,455.3666666666667,-0.497,199.33263,100,i2,2.8868751e-8,2.8868751e-8,-0.181,94.00013,8.0471469e-9,8.0471469e-9,2.08216041e-8,SWVfast,1,455.98333333333335,-0.261,i1,1.602741e-6,1.602741e-6,-0.085,1.3933575e-6,1.3933575e-6,2.0938349999999992e-7
A,100uM,PYO,GC,2,464.1333333333333,-0.499,199.99928,100,i2,1.3015521e-8,1.3015521e-8,-0.197,99.333504,6.4214043e-9,6.4214043e-9,6.5941167e-9,SWVfast,1,464.65,-0.287,i1,1.5576553e-6,1.5576553e-6,-0.13,1.40655e-6,1.40655e-6,1.5110530000000008e-7
A,100uM,PYO,GC,3,472.73333333333335,-0.499,199.99928,100,i2,9.4862882e-9,9.4862882e-9,-0.21,103.66687,5.5260156e-9,5.5260156e-9,3.9602726000000004e-9,SWVfast,1,473.1666666666667,-0.27,i1,1.5403893e-6,1.5403893e-6,-0.128,1.4080506e-6,1.4080506e-6,1.3233869999999998e-7
A,100uM,PYO,GC,4,481.25,-0.499,199.99928,100,i2,7.4568254e-9,7.4568254e-9,-0.209,103.33353,4.7956612e-9,4.7956612e-9,2.661164200000001e-9,SWVfast,1,481.71666666666664,-0.264,i1,1.5394329e-6,1.5394329e-6,-0.131,1.4133277e-6,1.4133277e-6,1.2610519999999996e-7
A,100uM,PYO,GC,5,489.81666666666666,-0.499,199.99928,100,i2,6.9062835e-9,6.9062835e-9,-0.208,103.0002,4.4896367e-9,4.4896367e-9,2.4166468e-9,SWVfast,1,490.31666666666666,-0.259,i1,1.5332654e-6,1.5332654e-6,-0.076,1.4226285e-6,1.4226285e-6,1.1063690000000007e-7
A,100uM,PYO,GC,6,498.4166666666667,-0.499,199.99928,100,i2,6.3701204e-9,6.3701204e-9,-0.219,106.66689,4.1304102e-9,4.1304102e-9,2.2397102e-9,SWVfast,1,498.9166666666667,-0.252,i1,1.5280048e-6,1.5280048e-6,-0.091,1.41905e-6,1.41905e-6,1.0895480000000008e-7
A,100uM,PYO,GC,7,512.7333333333333,-0.5,200.33261,100,i2,5.4490896e-9,5.4490896e-9,-0.114,71.666626,2.5735249e-9,2.5735249e-9,2.8755647e-9,SWVfast,1,513.9833333333333,-0.26,i1,1.5415271e-6,1.5415271e-6,-0.11,1.4286641e-6,1.4286641e-6,1.1286300000000005e-7
A,10uM,PYO,GC,1,1367.1833333333334,-0.499,199.99928,10,i2,1.4063962e-8,1.4063962e-8,-0.194,98.333496,3.9906181e-9,3.9906181e-9,1.00733439e-8,SWVfast,1,1368.2166666666667,-0.266,i1,1.5451551e-6,1.5451551e-6,-0.114,1.436349e-6,1.436349e-6,1.0880610000000002e-7
A,10uM,PYO,GC,2,1376.4666666666667,-0.499,199.99928,10,i2,7.8029503e-9,7.8029503e-9,-0.219,106.66689,3.4505412e-9,3.4505412e-9,4.3524090999999996e-9,SWVfast,1,1377.1833333333334,-0.38,i1,1.5088425e-6,1.5088425e-6,-0.173,1.4287632e-6,1.4287632e-6,8.007930000000017e-8
A,10uM,PYO,GC,3,1385.25,-0.499,199.99928,10,i2,5.9634453e-9,5.9634453e-9,-0.23,110.33359,3.0245346e-9,3.0245346e-9,2.9389107e-9,SWVfast,1,1386.05,-0.389,i1,1.4936049e-6,1.4936049e-6,-0.151,1.4092051e-6,1.4092051e-6,8.43997999999999e-8
A,10uM,PYO,GC,4,1394.1833333333334,-0.499,199.99928,10,i2,5.0839528e-9,5.0839528e-9,-0.233,111.3336,2.8160443e-9,2.8160443e-9,2.2679085000000002e-9,SWVfast,1,1394.7,-0.389,i1,1.4756301e-6,1.4756301e-6,-0.194,1.3927968e-6,1.3927968e-6,8.283329999999996e-8
A,10uM,PYO,GC,5,1403.0833333333333,-0.499,199.99928,10,i2,4.6282302e-9,4.6282302e-9,-0.329,143.33348,2.6786489e-9,2.6786489e-9,1.9495813e-9,SWVfast,1,1403.4666666666667,-0.386,i1,1.4642019e-6,1.4642019e-6,-0.167,1.387767e-6,1.387767e-6,7.643489999999999e-8
A,10uM,PYO,GC,6,1410.5166666666667,-0.5,200.33261,10,i2,4.0435797e-9,4.0435797e-9,-0.256,119.00032,2.075945e-9,2.075945e-9,1.9676346999999996e-9,SWVfast,1,1411.3,-0.399,i1,1.4495085e-6,1.4495085e-6,-0.063,1.3445776e-6,1.3445776e-6,1.049308999999999e-7
A,200uM,PYO,GC,1,550.35,-0.48,193.66605,200,i2,1.5488044e-7,1.5488044e-7,-0.159,86.66674,2.0639705e-8,2.0639705e-8,1.34240735e-7,SWVfast,1,550.8666666666667,-0.269,i1,2.1645169e-6,2.1645169e-6,-0.095,1.4111345e-6,1.4111345e-6,7.533824000000002e-7
A,200uM,PYO,GC,2,558.9833333333333,-0.493,197.99931,200,i2,5.3273268e-8,5.3273268e-8,-0.178,93.000122,1.3444403e-8,1.3444403e-8,3.9828865000000005e-8,SWVfast,1,559.3666666666667,-0.272,i1,1.7777415e-6,1.7777415e-6,-0.091,1.4299176e-6,1.4299176e-6,3.4782389999999996e-7
A,200uM,PYO,GC,3,567.5166666666667,-0.49,196.99933,200,i2,2.8291769e-8,2.8291769e-8,-0.179,93.333458,1.0421218e-8,1.0421218e-8,1.7870551e-8,SWVfast,1,568.0333333333333,-0.272,i1,1.6538626e-6,1.6538626e-6,-0.079,1.4304287e-6,1.4304287e-6,2.234339e-7
A,200uM,PYO,GC,4,580.3333333333334,-0.497,199.33263,200,i2,1.5669336e-8,1.5669336e-8,-0.14,80.333359,5.0170921e-9,5.0170921e-9,1.0652243900000002e-8,SWVfast,1,580.75,-0.264,i1,1.6157524e-6,1.6157524e-6,-0.081,1.4420712e-6,1.4420712e-6,1.736811999999999e-7
A,200uM,PYO,GC,5,588.8833333333333,-0.499,199.99928,200,i2,1.4729213e-8,1.4729213e-8,-0.195,98.666832,7.3783815e-9,7.3783815e-9,7.350831500000001e-9,SWVfast,1,589.45,-0.269,i1,1.5934238e-6,1.5934238e-6,-0.11,1.4456498e-6,1.4456498e-6,1.47774e-7
A,200uM,PYO,GC,6,597.6166666666667,-0.499,199.99928,200,i2,1.4041116e-8,1.4041116e-8,-0.167,89.333427,6.9262533e-9,6.9262533e-9,7.1148627000000004e-9,SWVfast,1,598.1,-0.264,i1,1.5859699e-6,1.5859699e-6,-0.078,1.4411147e-6,1.4411147e-6,1.448552e-7
A,200uM,PYO,GC,7,609.6166666666667,-0.495,198.66597,200,i2,1.3339359e-8,1.3339359e-8,-0.203,101.33352,6.4671761e-9,6.4671761e-9,6.8721829e-9,SWVfast,1,610.0333333333333,-0.3,i1,1.6300005e-6,1.6300005e-6,-0.052,1.4181101e-6,1.4181101e-6,2.1189039999999994e-7
A,25uM,PYO,GC,1,27.666666666666668,-0.499,199.99928,25,i2,2.2999556e-8,2.2999556e-8,-0.186,95.666809,6.4218835e-9,6.4218835e-9,1.65776725e-8,SWVfast,1,28.533333333333335,-0.279,i1,1.5339579e-6,1.5339579e-6,-0.129,1.3694787e-6,1.3694787e-6,1.644792e-7
