reactor,PHZadded,molecule,echem,rep,sub_rep,minutes,E_from_maxs,PHZaddedInt,electrode,current_from_maxs,max_current,E_from_mins,current_from_mins,min_current,signal,min_time,norm_time
A,100uM,PYO,SWVfast,0,1,447.23333333333335,-0.271,100,i1,4.5842453e-6,4.5842453e-6,-0.069,1.2761573e-6,1.2761573e-6,3.3080879999999994e-6,447.23333333333335,0
A,100uM,PYO,SWVfast,0,2,448.3833333333333,-0.271,100,i1,2.5463446e-6,2.5463446e-6,-0.078,1.333034e-6,1.333034e-6,1.2133106e-6,447.23333333333335,1.1499999999999773
A,100uM,PYO,SWVfast,0,3,449.53333333333336,-0.274,100,i1,2.0054795e-6,2.0054795e-6,-0.067,1.3559727e-6,1.3559727e-6,6.495067999999998e-7,447.23333333333335,2.3000000000000114
A,100uM,PYO,SWVfast,0,4,450.6666666666667,-0.274,100,i1,1.817006e-6,1.817006e-6,-0.086,1.3664609e-6,1.3664609e-6,4.505451000000001e-7,447.23333333333335,3.433333333333337
A,100uM,PYO,SWVfast,0,5,451.81666666666666,-0.27,100,i1,1.7266859e-6,1.7266859e-6,-0.108,1.3691819e-6,1.3691819e-6,3.575040000000001e-7,447.23333333333335,4.583333333333314
A,100uM,PYO,SWVfast,1,1,455.98333333333335,-0.261,100,i1,1.602741e-6,1.602741e-6,-0.085,1.3933575e-6,1.3933575e-6,2.0938349999999992e-7,447.23333333333335,8.75
A,100uM,PYO,SWVfast,1,2,457.1333333333333,-0.281,100,i1,1.5831995e-6,1.5831995e-6,-0.093,1.388542e-6,1.388542e-6,1.946575e-7,447.23333333333335,9.899999999999977
A,100uM,PYO,SWVfast,1,3,458.28333333333336,-0.273,100,i1,1.5814021e-6,1.5814021e-6,-0.118,1.3904551e-6,1.3904551e-6,1.9094699999999997e-7,447.23333333333335,11.050000000000011
A,100uM,PYO,SWVfast,1,4,459.43333333333334,-0.276,100,i1,1.5705346e-6,1.5705346e-6,-0.088,1.3882617e-6,1.3882617e-6,1.8227289999999988e-7,447.23333333333335,12.199999999999989
A,100uM,PYO,SWVfast,1,5,460.56666666666666,-0.268,100,i1,1.5508115e-6,1.5508115e-6,-0.099,1.3847327e-6,1.3847327e-6,1.6607879999999995e-7,447.23333333333335,13.333333333333314
A,100uM,PYO,SWVfast,2,1,464.65,-0.287,100,i1,1.5576553e-6,1.5576553e-6,-0.13,1.40655e-6,1.40655e-6,1.5110530000000008e-7,447.23333333333335,17.41666666666663
A,100uM,PYO,SWVfast,2,2,465.8,-0.284,100,i1,1.5405212e-6,1.5405212e-6,-0.085,1.3931265e-6,1.3931265e-6,1.473946999999999e-7,447.23333333333335,18.566666666666663
A,100uM,PYO,SWVfast,2,3,466.93333333333334,-0.279,100,i1,1.5362173e-6,1.5362173e-6,-0.11,1.3982882e-6,1.3982882e-6,1.379291000000001e-7,447.23333333333335,19.69999999999999
A,100uM,PYO,SWVfast,2,4,468.0833333333333,-0.27,100,i1,1.5365965e-6,1.5365965e-6,-0.113,1.402889e-6,1.402889e-6,1.3370749999999998e-7,447.23333333333335,20.849999999999966
A,100uM,PYO,SWVfast,2,5,469.23333333333335,-0.265,100,i1,1.5396638e-6,1.5396638e-6,-0.12,1.4008277e-6,1.4008277e-6,1.3883609999999993e-7,447.23333333333335,22
A,100uM,PYO,SWVfast,3,1,473.1666666666667,-0.27,100,i1,1.5403893e-6,1.5403893e-6,-0.128,1.4080506e-6,1.4080506e-6,1.3233869999999998e-7,447.23333333333335,25.933333333333337
A,100uM,PYO,SWVfast,3,2,474.31666666666666,-0.259,100,i1,1.534733e-6,1.534733e-6,-0.09,1.3984366e-6,1.3984366e-6,1.3629639999999993e-7,447.23333333333335,27.083333333333314
A,100uM,PYO,SWVfast,3,3,475.45,-0.263,100,i1,1.5306928e-6,1.5306928e-6,-0.116,1.4001187e-6,1.4001187e-6,1.3057409999999993e-7,447.23333333333335,28.21666666666664
A,100uM,PYO,SWVfast,3,4,476.6,-0.264,100,i1,1.5292417e-6,1.5292417e-6,-0.071,1.4041589e-6,1.4041589e-6,1.2508279999999995e-7,447.23333333333335,29.366666666666674
