time,intensity,condition,min,bg_sub
-9.939e-8,3.97908e-4,dPHZ -Ru -Rh,-1.9954e-4,5.97448e-4
-9.779e-8,2.58198e-4,dPHZ -Ru -Rh,-3.05855e-4,5.64053e-4
-9.559e-8,-1.65492e-4,dPHZ -Ru -Rh,-3.66273e-4,2.0078100000000003e-4
-9.339e-8,-2.84336e-4,dPHZ -Ru -Rh,-2.84336e-4,0
-9.119e-8,-2.03292e-4,dPHZ -Ru -Rh,-4.35701e-4,2.32409e-4
-8.909e-8,-8.58594e-5,dPHZ -Ru -Rh,-2.0362e-4,1.177606e-4
-8.709e-8,3.56849e-4,dPHZ -Ru -Rh,2.88194e-5,3.280296e-4
-8.509e-8,1.65356e-4,dPHZ -Ru -Rh,-4.43576e-6,1.6979176e-4
-8.319e-8,-1.52479e-5,dPHZ -Ru -Rh,-1.52479e-5,0
-8.129e-8,-1.72057e-4,dPHZ -Ru -Rh,-1.72057e-4,0
-7.939e-8,-3.2609e-5,dPHZ -Ru -Rh,-9.57562e-5,6.31472e-5
-7.759e-8,1.12163e-4,dPHZ -Ru -Rh,-2.90394e-4,4.02557e-4
-7.579e-8,-6.95313e-6,dPHZ -Ru -Rh,-1.4726e-4,1.4030687e-4
-7.409e-8,9.64844e-6,dPHZ -Ru -Rh,9.64844e-6,0
-7.249e-8,7.73568e-5,dPHZ -Ru -Rh,-1.4125e-4,2.186068e-4
-7.079e-8,1.48139e-4,dPHZ -Ru -Rh,-5.58664e-4,7.06803e-4
-6.919e-8,2.25686e-4,dPHZ -Ru -Rh,-3.67237e-4,5.92923e-4
-6.769e-8,-4.36285e-5,dPHZ -Ru -Rh,-3.66727e-4,3.230985e-4
-6.609e-8,1.45391e-4,dPHZ -Ru -Rh,-2.83689e-4,4.2908e-4
-6.459e-8,8.9153e-5,dPHZ -Ru -Rh,-2.90324e-4,3.79477e-4
-6.309e-8,-9.09375e-5,dPHZ -Ru -Rh,-3.35447e-4,2.445095e-4
-6.159e-8,2.87612e-5,dPHZ -Ru -Rh,-1.50954e-4,1.7971519999999998e-4
-6.019e-8,-2.60503e-5,dPHZ -Ru -Rh,-1.95596e-4,1.695457e-4
-5.889e-8,5.46788e-5,dPHZ -Ru -Rh,-1.99334e-4,2.540128e-4
-5.759e-8,-2.1107e-4,dPHZ -Ru -Rh,-6.36706e-4,4.25636e-4
-5.629e-8,-1.65518e-4,dPHZ -Ru -Rh,-2.60446e-4,9.492800000000001e-5
-5.499e-8,-2.67246e-4,dPHZ -Ru -Rh,-2.67246e-4,0
-5.369e-8,-1.43238e-4,dPHZ -Ru -Rh,-1.43238e-4,0
-5.249e-8,-3.37104e-4,dPHZ -Ru -Rh,-4.41386e-4,1.0428199999999997e-4
-5.129e-8,-5.50645e-4,dPHZ -Ru -Rh,-5.50645e-4,0
-5.009e-8,2.06155e-4,dPHZ -Ru -Rh,-2.97428e-4,5.03583e-4
-4.899e-8,3.34019e-4,dPHZ -Ru -Rh,-1.57465e-4,4.91484e-4
-4.789e-8,2.67352e-4,dPHZ -Ru -Rh,-8.85706e-5,3.559226e-4
-4.679e-8,2.25859e-4,dPHZ -Ru -Rh,-1.90026e-4,4.15885e-4
-4.569e-8,1.36131e-4,dPHZ -Ru -Rh,-1.69251e-4,3.05382e-4
-4.459e-8,-9.34115e-5,dPHZ -Ru -Rh,-1.47491e-4,5.40795e-5
-4.359e-8,-3.4237e-4,dPHZ -Ru -Rh,-3.82986e-4,4.061599999999999e-5
-4.259e-8,-8.07378e-5,dPHZ -Ru -Rh,-2.45139e-4,1.6440120000000001e-4
-4.169e-8,5.42448e-5,dPHZ -Ru -Rh,5.42448e-5,0
-4.079e-8,-2.87161e-4,dPHZ -Ru -Rh,-2.87161e-4,0
-3.979e-8,-7.59036e-4,dPHZ -Ru -Rh,-8.4566e-4,8.662399999999999e-5
-3.889e-8,-3.70234e-4,dPHZ -Ru -Rh,-9.71528e-4,6.01294e-4
-3.799e-8,-6.77951e-6,dPHZ -Ru -Rh,-6.39063e-4,6.322834900000001e-4
-3.709e-8,-1.85339e-4,dPHZ -Ru -Rh,-5.8546e-4,4.00121e-4
-3.629e-8,1.12188e-4,dPHZ -Ru -Rh,-8.88021e-5,2.009901e-4
-3.549e-8,4.32934e-4,dPHZ -Ru -Rh,3.09809e-5,4.019531e-4
-3.469e-8,3.89097e-4,dPHZ -Ru -Rh,1.81467e-4,2.0763e-4
-3.389e-8,2.51727e-4,dPHZ -Ru -Rh,6.80903e-5,1.8363669999999998e-4
-3.309e-8,-1.65807e-4,dPHZ -Ru -Rh,-3.04306e-4,1.3849900000000002e-4
-3.229e-8,-2.59991e-4,dPHZ -Ru -Rh,-5.57118e-4,2.97127e-4
-3.159e-8,2.4623e-4,dPHZ -Ru -Rh,-6.84606e-5,3.146906e-4
-3.089e-8,8.57847e-4,dPHZ -Ru -Rh,5.04601e-4,3.53246e-4
-3.019e-8,0.00123292,dPHZ -Ru -Rh,8.61282e-4,3.71638e-4
-2.949e-8,2.21345e-4,dPHZ -Ru -Rh,-7.84262e-4,0.001005607
-2.879e-8,-0.00171789,dPHZ -Ru -Rh,-0.00241389,6.960000000000002e-4
-2.819e-8,-0.00237761,dPHZ -Ru -Rh,-0.00237761,0
-2.759e-8,-0.00110649,dPHZ -Ru -Rh,-0.00168183,5.753400000000001e-4
-2.699e-8,7.45072e-4,dPHZ -Ru -Rh,-3.91898e-4,0.0011369700000000002
-2.639e-8,0.0019699,dPHZ -Ru -Rh,8.07176e-4,0.001162724
-2.579e-8,0.00216897,dPHZ -Ru -Rh,0.00165174,5.1723e-4
-2.519e-8,0.00119241,dPHZ -Ru -Rh,8.76328e-4,3.160820000000001e-4
-2.459e-8,-6.27613e-4,dPHZ -Ru -Rh,-9.1447e-4,2.8685700000000006e-4
-2.399e-8,-0.00167102,dPHZ -Ru -Rh,-0.00167102,0
-2.339e-8,-6.79986e-4,dPHZ -Ru -Rh,-8.29262e-4,1.4927599999999994e-4
-2.289e-8,8.69783e-4,dPHZ -Ru -Rh,9.21788e-5,7.776042e-4
-2.239e-8,0.00200317,dPHZ -Ru -Rh,6.22127e-4,0.0013810429999999998
-2.189e-8,0.002069,dPHZ -Ru -Rh,7.39748e-4,0.001329252
-2.139e-8,0.00203529,dPHZ -Ru -Rh,0.0010835,9.517899999999999e-4
-2.089e-8,0.00271223,dPHZ -Ru -Rh,0.00201088,7.013499999999999e-4
-2.039e-8,0.00394704,dPHZ -Ru -Rh,0.00297813,9.689099999999999e-4
-1.989e-8,0.0056315,dPHZ -Ru -Rh,0.00403672,0.0015947800000000005
-1.949e-8,0.00788845,dPHZ -Ru -Rh,0.00501233,0.0028761200000000002
-1.909e-8,0.0112413,dPHZ -Ru -Rh,0.00696719,0.004274109999999999
-1.869e-8,0.0166128,dPHZ -Ru -Rh,0.0104299,0.0061829
-1.819e-8,0.0261684,dPHZ -Ru -Rh,0.0169209,0.009247500000000002
-1.769e-8,0.0383572,dPHZ -Ru -Rh,0.0252055,0.013151700000000002
-1.729e-8,0.0511875,dPHZ -Ru -Rh,0.0339173,0.0172702
-1.689e-8,0.0671289,dPHZ -Ru -Rh,0.045202,0.021926900000000006
-1.659e-8,0.0797708,dPHZ -Ru -Rh,0.0555423,0.0242285
-1.629e-8,0.0892183,dPHZ -Ru -Rh,0.0676634,0.021554900000000002
-1.589e-8,0.0956059,dPHZ -Ru -Rh,0.0834468,0.012159099999999992
-1.549e-8,0.0976901,dPHZ -Ru -Rh,0.0940909,0.003599199999999997
-1.509e-8,0.0991923,dPHZ -Ru -Rh,0.0991738,1.8499999999990746e-5
-1.479e-8,0.100591,dPHZ -Ru -Rh,0.100591,0
-1.449e-8,0.102049,dPHZ -Ru -Rh,0.102049,0
-1.409e-8,0.103233,dPHZ -Ru -Rh,0.103141,9.200000000000874e-5
-1.379e-8,0.103004,dPHZ -Ru -Rh,0.102889,1.1500000000000399e-4
-1.349e-8,0.101434,dPHZ -Ru -Rh,0.10136,7.399999999999074e-5
-1.319e-8,0.0991701,dPHZ -Ru -Rh,0.0991351,3.499999999999337e-5
-1.289e-8,0.0967565,dPHZ -Ru -Rh,0.0967237,3.2799999999999496e-5
-1.259e-8,0.094717,dPHZ -Ru -Rh,0.094717,0
-1.229e-8,0.0935469,dPHZ -Ru -Rh,0.0935469,0
-1.199e-8,0.0932665,dPHZ -Ru -Rh,0.0932665,0
-1.179e-8,0.0934783,dPHZ -Ru -Rh,0.0934783,0
-1.149e-8,0.0939522,dPHZ -Ru -Rh,0.0939522,0
-1.119e-8,0.0944167,dPHZ -Ru -Rh,0.0944167,0
-1.099e-8,0.094618,dPHZ -Ru -Rh,0.094618,0
-1.079e-8,0.0948498,dPHZ -Ru -Rh,0.0948498,0
-1.049e-8,0.0952101,dPHZ -Ru -Rh,0.0952101,0
-1.019e-8,0.0957075,dPHZ -Ru -Rh,0.0957075,0
-9.99e-9,0.0961102,dPHZ -Ru -Rh,0.0961102,0
-9.79e-9,0.0964618,dPHZ -Ru -Rh,0.0964618,0
-9.59e-9,0.096816,dPHZ -Ru -Rh,0.096816,0
-9.39e-9,0.0970495,dPHZ -Ru -Rh,0.0970495,0
-9.19e-9,0.0971085,dPHZ -Ru -Rh,0.0971085,0
-8.99e-9,0.0969375,dPHZ -Ru -Rh,0.0969375,0
-8.79e-9,0.0964575,dPHZ -Ru -Rh,0.0964425,1.5000000000001124e-5
-8.59e-9,0.0958958,dPHZ -Ru -Rh,0.0958227,7.310000000000649e-5
-8.39e-9,0.0952873,dPHZ -Ru -Rh,0.095045,2.4230000000000085e-4
-8.19e-9,0.0947595,dPHZ -Ru -Rh,0.0944078,3.5169999999999646e-4
-7.99e-9,0.094447,dPHZ -Ru -Rh,0.0939773,4.6970000000000345e-4
-7.79e-9,0.094362,dPHZ -Ru -Rh,0.0939,4.620000000000041e-4
-7.59e-9,0.0945121,dPHZ -Ru -Rh,0.0940997,4.124000000000072e-4
-7.39e-9,0.0948394,dPHZ -Ru -Rh,0.0945545,2.849000000000046e-4
-7.19e-9,0.0953819,dPHZ -Ru -Rh,0.0951648,2.1710000000001173e-4
-6.99e-9,0.0959019,dPHZ -Ru -Rh,0.0958306,7.129999999999637e-5
-6.79e-9,0.0963238,dPHZ -Ru -Rh,0.0963238,0
-6.59e-9,0.0965894,dPHZ -Ru -Rh,0.0965894,0
-6.39e-9,0.0966076,dPHZ -Ru -Rh,0.0966076,0
-6.19e-9,0.0963897,dPHZ -Ru -Rh,0.0963897,0
-5.99e-9,0.0960382,dPHZ -Ru -Rh,0.0960382,0
-5.79e-9,0.0955799,dPHZ -Ru -Rh,0.0955799,0
-5.59e-9,0.0951224,dPHZ -Ru -Rh,0.0951205,1.8999999999991246e-6
-5.39e-9,0.0947865,dPHZ -Ru -Rh,0.0947533,3.319999999999712e-5
-5.19e-9,0.0945547,dPHZ -Ru -Rh,0.0944677,8.700000000000374e-5
-4.99e-9,0.0944028,dPHZ -Ru -Rh,0.0944028,0
-4.79e-9,0.0945234,dPHZ -Ru -Rh,0.0945234,0
-4.59e-9,0.0947101,dPHZ -Ru -Rh,0.0947101,0
-4.39e-9,0.0950234,dPHZ -Ru -Rh,0.0950234,0
-4.19e-9,0.0953446,dPHZ -Ru -Rh,0.0953446,0
-3.99e-9,0.0956788,dPHZ -Ru -Rh,0.0956788,0
-3.79e-9,0.0959592,dPHZ -Ru -Rh,0.0959592,0
-3.59e-9,0.0962674,dPHZ -Ru -Rh,0.0962674,0
-3.39e-9,0.0965521,dPHZ -Ru -Rh,0.0965521,0
-3.19e-9,0.0968316,dPHZ -Ru -Rh,0.0968316,0
-2.99e-9,0.0970712,dPHZ -Ru -Rh,0.0970712,0
-2.79e-9,0.0972144,dPHZ -Ru -Rh,0.0972144,0
-2.59e-9,0.0971988,dPHZ -Ru -Rh,0.0971988,0
-2.39e-9,0.0971163,dPHZ -Ru -Rh,0.0971163,0
-2.19e-9,0.0967995,dPHZ -Ru -Rh,0.0967995,0
-1.99e-9,0.0962439,dPHZ -Ru -Rh,0.0962439,0
-1.79e-9,0.0954809,dPHZ -Ru -Rh,0.0954809,0
-1.59e-9,0.094671,dPHZ -Ru -Rh,0.094671,0
-1.39e-9,0.0938689,dPHZ -Ru -Rh,0.0938689,0
-1.19e-9,0.0930851,dPHZ -Ru -Rh,0.0930851,0
-9.9e-10,0.0924097,dPHZ -Ru -Rh,0.0924097,0
-7.9e-10,0.0919479,dPHZ -Ru -Rh,0.0919479,0
-5.9e-10,0.0919097,dPHZ -Ru -Rh,0.0919097,0
-3.9e-10,0.0921371,dPHZ -Ru -Rh,0.0921371,0
-1.9e-10,0.0926293,dPHZ -Ru -Rh,0.0926293,0
1e-11,0.0933915,dPHZ -Ru -Rh,0.0933915,0
2.1e-10,0.0942491,dPHZ -Ru -Rh,0.0942491,0
4.1e-10,0.0950842,dPHZ -Ru -Rh,0.0950842,0
6.1e-10,0.0959245,dPHZ -Ru -Rh,0.0959245,0
8.1e-10,0.096691,dPHZ -Ru -Rh,0.096691,0
1.01e-9,0.0974054,dPHZ -Ru -Rh,0.0974054,0
1.21e-9,0.0981189,dPHZ -Ru -Rh,0.0981189,0
1.41e-9,0.098691,dPHZ -Ru -Rh,0.098691,0
1.61e-9,0.0992057,dPHZ -Ru -Rh,0.099203,2.6999999999943736e-6
1.81e-9,0.0995538,dPHZ -Ru -Rh,0.0995538,0
2.01e-9,0.0998325,dPHZ -Ru -Rh,0.0998325,0
2.21e-9,0.0999115,dPHZ -Ru -Rh,0.0999115,0
2.41e-9,0.0999549,dPHZ -Ru -Rh,0.0999549,0
2.61e-9,0.0997734,dPHZ -Ru -Rh,0.0997734,0
2.81e-9,0.0994392,dPHZ -Ru -Rh,0.0993887,5.050000000000887e-5
3.01e-9,0.098849,dPHZ -Ru -Rh,0.0988366,1.2400000000009626e-5
3.21e-9,0.0982326,dPHZ -Ru -Rh,0.09817,6.260000000000987e-5
3.41e-9,0.0975408,dPHZ -Ru -Rh,0.0974677,7.309999999999262e-5
3.61e-9,0.0969418,dPHZ -Ru -Rh,0.0968349,1.0689999999999311e-4
3.81e-9,0.0966059,dPHZ -Ru -Rh,0.0964434,1.6249999999999598e-4
4.01e-9,0.0963741,dPHZ -Ru -Rh,0.0961995,1.7460000000001086e-4
4.21e-9,0.0964175,dPHZ -Ru -Rh,0.0962073,2.102000000000076e-4
4.41e-9,0.0965877,dPHZ -Ru -Rh,0.0964599,1.2779999999999736e-4
4.61e-9,0.0968359,dPHZ -Ru -Rh,0.0968359,0
